module style:330ZI; drdy:True;   burst read:True; single read:True 
X_Rate__________________________________0x4     read value: 0x0         
Y_Rate__________________________________0x6     read value: 0x0         
Z_Rate__________________________________0x8     read value: 0x0         
X_Accel_________________________________0xA     read value: 0x0         
Y_Accel_________________________________0xC     read value: 0x0         
Z_Accel_________________________________0xE     read value: 0x0         
RATE_TEMP_______________________________0x16    read value: 0x0         
BOARD_TEMP______________________________0x18    read value: 0x0         
DRDY_RATE_______________________________0x36    read value: 0x0         
ACCEL_LPF_______________________________0x38    read value: 0x6060      
ACCEL_SCALE_FACTOR______________________0x46    read value: 0x0         
RATE_SCALE_FACTOR_______________________0x47    read value: 0x0         
SN_1____________________________________0x52    read value: 0x2008      
SN_2____________________________________0x54    read value: 0x400       
SN_3____________________________________0x58    read value: 0x344       
PRODUCT_ID______________________________0x56    read value: 0x3000      
MASTER_STATUS___________________________0x5A    read value: 0x0         
HW_STATUS_______________________________0x5C    read value: 0x0         
SW_STATUS_______________________________0x5E    read value: 0x0         
ACCEL_RANGE/RATE_RANGE__________________0x70    read value: 0x0         
ORIENTATION_MSB/ORIENTATION_LSB_________0x74    read value: 0x0         
SAVE_CONFIG_____________________________0x76    read value: 0x0         
RATE_LPF________________________________0x78    read value: 0x0         
HW_VERSION/SW_VERSION___________________0x7E    read value: 0x428       
